(i,j_loc)  - информация начальном размещении 

(1, 48)
(2, 32)
(2, 34)
(3, 3)
(5, 67)
(6, 66)
(8, 48)
(10, 69)
(13, 29)
(15, 22)
(16, 2)
(17, 17)
(18, 17)
(19, 62)
(20, 20)
(24, 21)
(25, 27)
(26, 43)
(27, 52)
(28, 69)
(29, 31)
(31, 69)
(32, 10)
(35, 24)
(36, 28)
(37, 50)
(38, 21)
(40, 52)
(42, 58)
(46, 22)
(47, 24)
(48, 27)
(49, 39)
(50, 60)
(53, 49)
(54, 34)
(55, 23)
(56, 1)
(57, 72)
(60, 12)
(61, 49)
(62, 33)
(63, 28)
(64, 75)
(65, 61)
(66, 38)
(68, 74)
(70, 38)
(72, 17)
(73, 54)
(74, 72)
(75, 67)
(76, 64)
(77, 14)
(78, 21)
(79, 50)
(82, 38)
(83, 76)
(84, 46)
(87, 39)
(91, 62)
(93, 17)
(94, 30)
(96, 2)
(97, 45)
(98, 43)
(99, 25)
(100, 30)
(101, 17)
(102, 24)
(105, 3)
(106, 27)
(108, 18)
(111, 57)
(112, 16)
(113, 9)
(114, 66)
(115, 71)
(116, 4)
(117, 72)
(118, 15)
(120, 25)
(121, 73)
(123, 57)
(124, 61)
(125, 34)
(126, 63)
(127, 60)
(128, 29)
(129, 55)
(130, 22)
(131, 49)
(133, 15)
(138, 33)
(139, 22)
(140, 62)
(143, 16)
(146, 39)
(147, 38)
(148, 10)
(150, 48)
(151, 41)
(152, 35)
(153, 54)
(154, 67)
(157, 9)
(158, 74)
(159, 76)
(160, 43)
(161, 3)
(162, 21)
(163, 10)
(164, 63)
(165, 7)
(166, 67)
(168, 4)
(169, 43)
(170, 51)
(171, 1)
(175, 23)
(177, 20)
(178, 67)
(179, 34)
(180, 31)
(182, 10)
(185, 12)
(186, 70)
(189, 36)
(190, 7)
(192, 62)
(193, 38)
(194, 14)
(195, 70)
(196, 13)
(197, 40)
(198, 4)
(201, 73)
(203, 21)
(206, 61)
(207, 44)
(208, 61)
(209, 20)
(210, 32)
(211, 1)
(212, 38)
(213, 19)
(215, 28)
(217, 13)
(218, 69)
(219, 71)
(220, 21)
(221, 37)
(222, 33)
(223, 38)
(225, 1)
(226, 37)
(227, 18)
(228, 61)
(229, 25)
(230, 26)
(231, 27)
(232, 6)
(233, 11)
(234, 23)
(236, 35)
(237, 51)
(238, 13)
(240, 26)
(241, 3)
(242, 57)
(243, 69)
(244, 51)
(245, 32)
(246, 76)
(248, 37)
(249, 22)
(250, 71)
(251, 12)
(253, 50)
(254, 46)
(255, 40)
(257, 30)
(259, 47)
(260, 2)
(262, 57)
(264, 41)
(266, 15)
(267, 74)
(270, 30)
(271, 63)
(273, 58)
(275, 69)
(278, 13)
(279, 56)
(280, 71)
(281, 75)
(282, 15)
(283, 22)
(284, 14)
(286, 76)
(287, 52)
(288, 3)
(289, 57)
(290, 43)
(291, 74)
(292, 20)
(296, 68)
(301, 59)
(304, 21)
(307, 2)
(308, 61)
(309, 64)
(310, 5)
(311, 12)
(312, 18)
(314, 69)
(315, 54)
(320, 46)
(321, 3)
(322, 72)
(323, 14)
(324, 59)
(327, 25)
(328, 43)
(330, 34)
(331, 6)
(332, 23)
(333, 10)
(334, 20)
(335, 55)
(338, 58)
(339, 7)
(340, 2)
(343, 61)
(344, 53)
(345, 17)
(346, 49)
(347, 38)
(349, 53)
(350, 49)
(352, 53)
(355, 53)
(356, 2)
(357, 11)
(358, 33)
(360, 14)
(361, 3)
(362, 22)
(364, 38)
(365, 65)
(366, 52)
(367, 57)
(368, 7)
(369, 58)
(370, 10)
(371, 57)
(372, 25)
(373, 73)
(376, 61)
(377, 30)
(378, 59)
(380, 42)
(381, 74)
(382, 8)
(383, 22)
(384, 59)
(385, 71)
(386, 29)
(387, 30)
(388, 33)
(389, 39)
(390, 52)
(392, 66)
(393, 55)
(394, 58)
(396, 51)
(397, 4)
(398, 20)
(401, 38)
(402, 48)
(403, 19)
(405, 74)
(406, 11)
(407, 75)
(409, 11)
(414, 24)
(415, 29)
(416, 75)
(417, 9)
(420, 63)
(422, 7)
(423, 56)
(424, 49)
(425, 40)
(426, 4)
(427, 65)
(428, 33)
(429, 52)
(430, 49)
(431, 27)
(433, 14)
(434, 36)
(436, 48)
(437, 70)
(438, 41)
(439, 58)
(440, 30)
(442, 62)
(443, 49)
(444, 36)
(446, 54)
(447, 22)
(448, 29)
(449, 57)
(451, 67)
(452, 31)
(453, 75)
(455, 55)
(456, 54)
(457, 2)
(458, 35)
(459, 11)
(460, 37)
(462, 15)
(463, 24)
(464, 67)
(468, 27)
(469, 75)
(470, 46)
(471, 42)
(472, 75)
(473, 61)
(475, 58)
(476, 7)
(479, 19)
(480, 43)
(483, 60)
(485, 29)
(487, 32)
(488, 18)
(490, 74)
(492, 68)
(495, 40)
(496, 33)
(497, 35)
(498, 46)
(501, 7)
(503, 26)
(504, 28)
(506, 65)
(509, 25)
(510, 41)
(511, 22)
(513, 17)
(514, 47)
(516, 75)
(518, 27)
(524, 37)
(525, 16)
(527, 72)
(528, 3)
(529, 15)
(531, 17)
(532, 58)
(534, 70)
(535, 36)
(536, 33)
(538, 30)
(539, 35)
(540, 52)
(541, 27)
(542, 54)
(545, 47)
(546, 59)
(547, 2)
(548, 42)
(549, 72)
(551, 70)
(552, 16)
(554, 57)
(556, 59)
(557, 17)
(558, 74)
(559, 42)
(560, 69)
(566, 18)
(567, 73)
(568, 74)
(570, 58)
(571, 71)
(574, 18)
(575, 24)
(576, 29)
(579, 19)
(580, 60)
(584, 26)
(585, 41)
(586, 10)
(587, 40)
(588, 60)
(589, 66)
(590, 15)
(591, 56)
(593, 23)
(594, 28)
(595, 34)
(596, 9)
(597, 19)
(599, 12)
(600, 8)
(601, 33)
(603, 26)
(604, 61)
(605, 75)
(606, 28)
(607, 24)
(608, 54)
(610, 3)
(611, 48)
(612, 74)
(614, 61)
(615, 22)
(616, 44)
(617, 8)
(620, 38)
(621, 63)
(623, 67)
(624, 48)
(625, 32)
(628, 2)
(629, 46)
(630, 25)
(635, 14)
(637, 22)
(639, 8)
(641, 47)
(642, 2)
(645, 67)
(648, 76)
(649, 45)
(650, 10)
(654, 19)
(655, 68)
(657, 8)
(658, 18)
(660, 37)
(665, 18)
(666, 32)
(667, 52)
(668, 66)
(670, 21)
(671, 54)
(672, 63)
(675, 39)
(676, 19)
(679, 56)
(681, 10)
(682, 55)
(683, 44)
(684, 33)
(685, 55)
(687, 19)
(688, 45)
(689, 20)
(690, 1)
(691, 31)
(692, 73)
(693, 5)
(694, 32)
(696, 37)
(697, 73)
(698, 58)
(700, 54)
(701, 50)
(702, 75)
(703, 36)
(704, 26)
(705, 60)
(706, 22)
(708, 21)
(709, 17)
(710, 64)
(712, 33)
(713, 76)
(714, 58)
(715, 36)
(717, 73)
(719, 1)
(720, 56)
(721, 60)
(723, 47)
(724, 39)
(725, 50)
(726, 57)
(727, 35)
(728, 9)
(729, 41)
(730, 19)
(731, 13)
(732, 69)
(733, 65)
(734, 72)
(735, 62)
(736, 34)
(737, 3)
(738, 10)
(739, 66)
(740, 76)
(741, 30)
